m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0
3,0.5416666666666666,0.05
3,0.5625,0.09
3,0.5833333333333334,0.09
3,0.6041666666666666,0.13
3,0.625,0.2
3,0.6458333333333334,0.17
3,0.6666666666666666,0.24
3,0.6875,0.22
3,0.7083333333333334,0.34
3,0.7291666666666666,0.3
3,0.75,0.3
3,0.7708333333333334,0.34
3,0.7916666666666666,0.37
3,0.8125,0.42
3,0.8333333333333334,0.38
3,0.8541666666666666,0.48
3,0.875,0.57
3,0.8958333333333334,0.62
3,0.9166666666666666,0.68
3,0.9375,0.75
3,0.9583333333333334,0.67
3,0.9791666666666666,0.76
3,1.0,0.48
4,0.5,0.0
4,0.5208333333333334,0.02
4,0.5416666666666666,0.15
4,0.5625,0.19
4,0.5833333333333334,0.24
4,0.6041666666666666,0.31
4,0.625,0.39
4,0.6458333333333334,0.27
4,0.6666666666666666,0.29
4,0.6875,0.32
4,0.7083333333333334,0.34
4,0.7291666666666666,0.46
4,0.75,0.57
4,0.7708333333333334,0.65
4,0.7916666666666666,0.58
4,0.8125,0.68
4,0.8333333333333334,0.71
4,0.8541666666666666,0.57
4,0.875,0.64
4,0.8958333333333334,0.6
4,0.9166666666666666,0.74
4,0.9375,0.86
4,0.9583333333333334,0.81
4,0.9791666666666666,0.94
4,1.0,0.99
5,0.5,0.0
5,0.5208333333333334,0.15
5,0.5416666666666666,0.26
5,0.5625,0.3
5,0.5833333333333334,0.31
5,0.6041666666666666,0.29
5,0.625,0.45
5,0.6458333333333334,0.36
5,0.6666666666666666,0.37
5,0.6875,0.41
5,0.7083333333333334,0.62
5,0.7291666666666666,0.54
5,0.75,0.59
5,0.7708333333333334,0.62
5,0.7916666666666666,0.62
5,0.8125,0.6
5,0.8333333333333334,0.67
5,0.8541666666666666,0.71
5,0.875,0.74
5,0.8958333333333334,0.88
5,0.9166666666666666,0.94
5,0.9375,0.96
5,0.9583333333333334,0.98
5,0.9791666666666666,0.99
5,1.0,1.0
