m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0
3,0.5416666666666666,0.03
3,0.5625,0.22
3,0.5833333333333334,0.25
3,0.6041666666666666,0.29
3,0.625,0.36
3,0.6458333333333334,0.34
3,0.6666666666666666,0.39
3,0.6875,0.38
3,0.7083333333333334,0.3
3,0.7291666666666666,0.41
3,0.75,0.32
3,0.7708333333333334,0.47
3,0.7916666666666666,0.4
3,0.8125,0.56
3,0.8333333333333334,0.56
3,0.8541666666666666,0.58
3,0.875,0.63
3,0.8958333333333334,0.73
3,0.9166666666666666,0.7
3,0.9375,0.63
3,0.9583333333333334,0.63
3,0.9791666666666666,0.7
3,1.0,0.25
4,0.5,0.0
4,0.5208333333333334,0.05
4,0.5416666666666666,0.34
4,0.5625,0.44
4,0.5833333333333334,0.53
4,0.6041666666666666,0.55
4,0.625,0.53
4,0.6458333333333334,0.48
4,0.6666666666666666,0.5
4,0.6875,0.54
4,0.7083333333333334,0.64
4,0.7291666666666666,0.59
4,0.75,0.69
4,0.7708333333333334,0.67
4,0.7916666666666666,0.7
4,0.8125,0.69
4,0.8333333333333334,0.72
4,0.8541666666666666,0.67
4,0.875,0.7
4,0.8958333333333334,0.78
4,0.9166666666666666,0.8
4,0.9375,0.98
4,0.9583333333333334,0.96
4,0.9791666666666666,0.97
4,1.0,0.97
5,0.5,0.0
5,0.5208333333333334,0.37
5,0.5416666666666666,0.45
5,0.5625,0.45
5,0.5833333333333334,0.55
5,0.6041666666666666,0.58
5,0.625,0.62
5,0.6458333333333334,0.69
5,0.6666666666666666,0.65
5,0.6875,0.62
5,0.7083333333333334,0.74
5,0.7291666666666666,0.66
5,0.75,0.59
5,0.7708333333333334,0.68
5,0.7916666666666666,0.8
5,0.8125,0.85
5,0.8333333333333334,0.88
5,0.8541666666666666,0.91
5,0.875,0.95
5,0.8958333333333334,0.9
5,0.9166666666666666,0.91
5,0.9375,0.92
5,0.9583333333333334,0.98
5,0.9791666666666666,0.99
5,1.0,0.99
