f,n,manipulability
f_2n_3,5,0.83
f_2n_3,10,0.859
f_2n_3,15,0.912
f_2n_3,20,0.886
f_2n_3,25,0.898
f_2n_3,30,0.86
f_2n_3,35,0.837
f_2n_3,40,0.839
f_2n_3,45,0.795
f_2n_3,50,0.786
f_2n_3,55,0.764
f_2n_3,60,0.736
f_2n_3,65,0.747
f_2n_3,70,0.77
f_n_2,5,0.798
f_n_2,10,0.805
f_n_2,15,0.745
f_n_2,20,0.72
f_n_2,25,0.718
f_n_2,30,0.657
f_n_2,35,0.637
f_n_2,40,0.621
f_n_2,45,0.608
f_n_2,50,0.53
f_n_2,55,0.541
f_n_2,60,0.507
f_n_2,65,0.506
f_n_2,70,0.502
f_n_3,5,0.574
f_n_3,10,0.734
f_n_3,15,0.745
f_n_3,20,0.681
f_n_3,25,0.693
f_n_3,30,0.658
f_n_3,35,0.624
f_n_3,40,0.596
f_n_3,45,0.567
f_n_3,50,0.526
f_n_3,55,0.559
f_n_3,60,0.523
f_n_3,65,0.52
f_n_3,70,0.474
Borda,5,0.655
Borda,10,0.758
Borda,15,0.728
Borda,20,0.717
Borda,25,0.665
Borda,30,0.662
Borda,35,0.651
Borda,40,0.588
Borda,45,0.587
Borda,50,0.568
Borda,55,0.556
Borda,60,0.55
Borda,65,0.532
Borda,70,0.515
