m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.003
3,0.5416666666666666,0.025
3,0.5625,0.066
3,0.5833333333333334,0.091
3,0.6041666666666666,0.15
3,0.625,0.192
3,0.6458333333333334,0.215
3,0.6666666666666666,0.22
3,0.6875,0.24
3,0.7083333333333334,0.262
3,0.7291666666666666,0.275
3,0.75,0.298
3,0.7708333333333334,0.31
3,0.7916666666666666,0.327
3,0.8125,0.417
3,0.8333333333333334,0.41
3,0.8541666666666666,0.492
3,0.875,0.579
3,0.8958333333333334,0.615
3,0.9166666666666666,0.694
3,0.9375,0.712
3,0.9583333333333334,0.719
3,0.9791666666666666,0.707
3,1.0,0.533
4,0.5,0.0
4,0.5208333333333334,0.018
4,0.5416666666666666,0.123
4,0.5625,0.183
4,0.5833333333333334,0.271
4,0.6041666666666666,0.279
4,0.625,0.328
4,0.6458333333333334,0.299
4,0.6666666666666666,0.277
4,0.6875,0.338
4,0.7083333333333334,0.376
4,0.7291666666666666,0.46
4,0.75,0.492
4,0.7708333333333334,0.541
4,0.7916666666666666,0.574
4,0.8125,0.584
4,0.8333333333333334,0.63
4,0.8541666666666666,0.679
4,0.875,0.672
4,0.8958333333333334,0.676
4,0.9166666666666666,0.687
4,0.9375,0.825
4,0.9583333333333334,0.823
4,0.9791666666666666,0.97
4,1.0,0.984
5,0.5,0.0
5,0.5208333333333334,0.136
5,0.5416666666666666,0.227
5,0.5625,0.256
5,0.5833333333333334,0.334
5,0.6041666666666666,0.337
5,0.625,0.404
5,0.6458333333333334,0.397
5,0.6666666666666666,0.421
5,0.6875,0.473
5,0.7083333333333334,0.522
5,0.7291666666666666,0.509
5,0.75,0.567
5,0.7708333333333334,0.575
5,0.7916666666666666,0.622
5,0.8125,0.662
5,0.8333333333333334,0.692
5,0.8541666666666666,0.716
5,0.875,0.78
5,0.8958333333333334,0.873
5,0.9166666666666666,0.911
5,0.9375,0.951
5,0.9583333333333334,0.97
5,0.9791666666666666,0.989
5,1.0,0.992
