m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.015
3,0.5416666666666666,0.053
3,0.5625,0.099
3,0.5833333333333334,0.137
3,0.6041666666666666,0.131
3,0.625,0.182
3,0.6458333333333334,0.23
3,0.6666666666666666,0.2
3,0.6875,0.227
3,0.7083333333333334,0.255
3,0.7291666666666666,0.274
3,0.75,0.264
3,0.7708333333333334,0.291
3,0.7916666666666666,0.334
3,0.8125,0.414
3,0.8333333333333334,0.473
3,0.8541666666666666,0.499
3,0.875,0.584
3,0.8958333333333334,0.602
3,0.9166666666666666,0.634
3,0.9375,0.671
3,0.9583333333333334,0.674
3,0.9791666666666666,0.673
3,1.0,0.501
4,0.5,0.0
4,0.5208333333333334,0.057
4,0.5416666666666666,0.14
4,0.5625,0.187
4,0.5833333333333334,0.194
4,0.6041666666666666,0.24
4,0.625,0.266
4,0.6458333333333334,0.27
4,0.6666666666666666,0.297
4,0.6875,0.303
4,0.7083333333333334,0.38
4,0.7291666666666666,0.429
4,0.75,0.496
4,0.7708333333333334,0.512
4,0.7916666666666666,0.53
4,0.8125,0.599
4,0.8333333333333334,0.616
4,0.8541666666666666,0.638
4,0.875,0.654
4,0.8958333333333334,0.705
4,0.9166666666666666,0.764
4,0.9375,0.827
4,0.9583333333333334,0.917
4,0.9791666666666666,0.953
4,1.0,0.965
5,0.5,0.0
5,0.5208333333333334,0.105
5,0.5416666666666666,0.204
5,0.5625,0.238
5,0.5833333333333334,0.275
5,0.6041666666666666,0.326
5,0.625,0.343
5,0.6458333333333334,0.36
5,0.6666666666666666,0.409
5,0.6875,0.446
5,0.7083333333333334,0.457
5,0.7291666666666666,0.517
5,0.75,0.524
5,0.7708333333333334,0.595
5,0.7916666666666666,0.606
5,0.8125,0.632
5,0.8333333333333334,0.71
5,0.8541666666666666,0.783
5,0.875,0.829
5,0.8958333333333334,0.908
5,0.9166666666666666,0.913
5,0.9375,0.945
5,0.9583333333333334,0.954
5,0.9791666666666666,0.984
5,1.0,0.99
