m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.006
3,0.5416666666666666,0.053
3,0.5625,0.157
3,0.5833333333333334,0.257
3,0.6041666666666666,0.314
3,0.625,0.36
3,0.6458333333333334,0.316
3,0.6666666666666666,0.357
3,0.6875,0.366
3,0.7083333333333334,0.353
3,0.7291666666666666,0.339
3,0.75,0.35
3,0.7708333333333334,0.396
3,0.7916666666666666,0.446
3,0.8125,0.535
3,0.8333333333333334,0.583
3,0.8541666666666666,0.619
3,0.875,0.62
3,0.8958333333333334,0.611
3,0.9166666666666666,0.623
3,0.9375,0.592
3,0.9583333333333334,0.624
3,0.9791666666666666,0.566
3,1.0,0.225
4,0.5,0.0
4,0.5208333333333334,0.127
4,0.5416666666666666,0.259
4,0.5625,0.368
4,0.5833333333333334,0.375
4,0.6041666666666666,0.41
4,0.625,0.416
4,0.6458333333333334,0.447
4,0.6666666666666666,0.487
4,0.6875,0.517
4,0.7083333333333334,0.58
4,0.7291666666666666,0.636
4,0.75,0.64
4,0.7708333333333334,0.676
4,0.7916666666666666,0.66
4,0.8125,0.648
4,0.8333333333333334,0.665
4,0.8541666666666666,0.657
4,0.875,0.678
4,0.8958333333333334,0.773
4,0.9166666666666666,0.904
4,0.9375,0.951
4,0.9583333333333334,0.982
4,0.9791666666666666,0.976
4,1.0,0.962
5,0.5,0.0
5,0.5208333333333334,0.232
5,0.5416666666666666,0.397
5,0.5625,0.41
5,0.5833333333333334,0.431
5,0.6041666666666666,0.525
5,0.625,0.57
5,0.6458333333333334,0.616
5,0.6666666666666666,0.641
5,0.6875,0.662
5,0.7083333333333334,0.689
5,0.7291666666666666,0.645
5,0.75,0.641
5,0.7708333333333334,0.688
5,0.7916666666666666,0.733
5,0.8125,0.787
5,0.8333333333333334,0.863
5,0.8541666666666666,0.907
5,0.875,0.927
5,0.8958333333333334,0.932
5,0.9166666666666666,0.922
5,0.9375,0.93
5,0.9583333333333334,0.949
5,0.9791666666666666,0.989
5,1.0,0.996
