m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0041
3,0.5416666666666666,0.0543
3,0.5625,0.1054
3,0.5833333333333334,0.129
3,0.6041666666666666,0.1679
3,0.625,0.198
3,0.6458333333333334,0.2237
3,0.6666666666666666,0.2262
3,0.6875,0.2299
3,0.7083333333333334,0.2612
3,0.7291666666666666,0.2605
3,0.75,0.2824
3,0.7708333333333334,0.3025
3,0.7916666666666666,0.3542
3,0.8125,0.4097
3,0.8333333333333334,0.4703
3,0.8541666666666666,0.5262
3,0.875,0.5677
3,0.8958333333333334,0.615
3,0.9166666666666666,0.639
3,0.9375,0.6649
3,0.9583333333333334,0.6876
3,0.9791666666666666,0.6806
3,1.0,0.5015
4,0.5,0.0
4,0.5208333333333334,0.0462
4,0.5416666666666666,0.1681
4,0.5625,0.2136
4,0.5833333333333334,0.2245
4,0.6041666666666666,0.2729
4,0.625,0.2857
4,0.6458333333333334,0.3033
4,0.6666666666666666,0.3191
4,0.6875,0.3424
4,0.7083333333333334,0.3896
4,0.7291666666666666,0.443
4,0.75,0.492
4,0.7708333333333334,0.5191
4,0.7916666666666666,0.5609
4,0.8125,0.5994
4,0.8333333333333334,0.5995
4,0.8541666666666666,0.6207
4,0.875,0.6473
4,0.8958333333333334,0.685
4,0.9166666666666666,0.7753
4,0.9375,0.8458
4,0.9583333333333334,0.9159
4,0.9791666666666666,0.9596
4,1.0,0.9668
5,0.5,0.0
5,0.5208333333333334,0.1819
5,0.5416666666666666,0.2352
5,0.5625,0.2474
5,0.5833333333333334,0.2847
5,0.6041666666666666,0.3344
5,0.625,0.3795
5,0.6458333333333334,0.4271
5,0.6666666666666666,0.4419
5,0.6875,0.4468
5,0.7083333333333334,0.4849
5,0.7291666666666666,0.515
5,0.75,0.5546
5,0.7708333333333334,0.5875
5,0.7916666666666666,0.6233
5,0.8125,0.6883
5,0.8333333333333334,0.7625
5,0.8541666666666666,0.786
5,0.875,0.8334
5,0.8958333333333334,0.8878
5,0.9166666666666666,0.9151
5,0.9375,0.9417
5,0.9583333333333334,0.9657
5,0.9791666666666666,0.9825
5,1.0,0.9894
