m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0015
3,0.5416666666666666,0.0596
3,0.5625,0.1554
3,0.5833333333333334,0.2594
3,0.6041666666666666,0.3223
3,0.625,0.3422
3,0.6458333333333334,0.3837
3,0.6666666666666666,0.3529
3,0.6875,0.3463
3,0.7083333333333334,0.3622
3,0.7291666666666666,0.3635
3,0.75,0.3665
3,0.7708333333333334,0.42
3,0.7916666666666666,0.4731
3,0.8125,0.5437
3,0.8333333333333334,0.5893
3,0.8541666666666666,0.6082
3,0.875,0.6178
3,0.8958333333333334,0.6154
3,0.9166666666666666,0.6133
3,0.9375,0.6177
3,0.9583333333333334,0.6194
3,0.9791666666666666,0.558
3,1.0,0.227
4,0.5,0.0
4,0.5208333333333334,0.0888
4,0.5416666666666666,0.3429
4,0.5625,0.4264
4,0.5833333333333334,0.4084
4,0.6041666666666666,0.4359
4,0.625,0.46
4,0.6458333333333334,0.4432
4,0.6666666666666666,0.4736
4,0.6875,0.526
4,0.7083333333333334,0.5852
4,0.7291666666666666,0.6246
4,0.75,0.6599
4,0.7708333333333334,0.6527
4,0.7916666666666666,0.6664
4,0.8125,0.6555
4,0.8333333333333334,0.6648
4,0.8541666666666666,0.6648
4,0.875,0.6895
4,0.8958333333333334,0.7788
4,0.9166666666666666,0.8861
4,0.9375,0.9516
4,0.9583333333333334,0.9722
4,0.9791666666666666,0.9744
4,1.0,0.9736
5,0.5,0.0
5,0.5208333333333334,0.3972
5,0.5416666666666666,0.4372
5,0.5625,0.4097
5,0.5833333333333334,0.4854
5,0.6041666666666666,0.5396
5,0.625,0.6176
5,0.6458333333333334,0.6532
5,0.6666666666666666,0.6944
5,0.6875,0.6564
5,0.7083333333333334,0.6788
5,0.7291666666666666,0.6779
5,0.75,0.702
5,0.7708333333333334,0.7013
5,0.7916666666666666,0.7367
5,0.8125,0.8158
5,0.8333333333333334,0.8845
5,0.8541666666666666,0.9033
5,0.875,0.9257
5,0.8958333333333334,0.9494
5,0.9166666666666666,0.9329
5,0.9375,0.9311
5,0.9583333333333334,0.9708
5,0.9791666666666666,0.9914
5,1.0,0.997
