f,n,manipulability
f_2n_3,5,1.0
f_2n_3,10,0.0
f_2n_3,15,1.0
f_2n_3,20,1.0
f_2n_3,25,1.0
f_2n_3,30,1.0
f_2n_3,35,1.0
f_2n_3,40,1.0
f_2n_3,45,1.0
f_2n_3,50,1.0
f_2n_3,55,1.0
f_2n_3,60,1.0
f_2n_3,65,0.0
f_2n_3,70,1.0
f_n_2,5,1.0
f_n_2,10,1.0
f_n_2,15,1.0
f_n_2,20,1.0
f_n_2,25,1.0
f_n_2,30,1.0
f_n_2,35,1.0
f_n_2,40,1.0
f_n_2,45,0.0
f_n_2,50,0.0
f_n_2,55,1.0
f_n_2,60,1.0
f_n_2,65,0.0
f_n_2,70,0.0
f_n_3,5,1.0
f_n_3,10,0.0
f_n_3,15,0.0
f_n_3,20,1.0
f_n_3,25,1.0
f_n_3,30,1.0
f_n_3,35,0.0
f_n_3,40,0.0
f_n_3,45,1.0
f_n_3,50,1.0
f_n_3,55,0.0
f_n_3,60,1.0
f_n_3,65,0.0
f_n_3,70,1.0
Borda,5,1.0
Borda,10,1.0
Borda,15,1.0
Borda,20,0.0
Borda,25,1.0
Borda,30,0.0
Borda,35,1.0
Borda,40,1.0
Borda,45,1.0
Borda,50,0.0
Borda,55,1.0
Borda,60,1.0
Borda,65,1.0
Borda,70,0.0
