f,n,manipulability
f_2n_3,5,0.8323
f_2n_3,10,0.8605
f_2n_3,15,0.907
f_2n_3,20,0.8874
f_2n_3,25,0.888
f_2n_3,30,0.8753
f_2n_3,35,0.8453
f_2n_3,40,0.8145
f_2n_3,45,0.8074
f_2n_3,50,0.784
f_2n_3,55,0.7776
f_2n_3,60,0.7427
f_2n_3,65,0.7149
f_2n_3,70,0.7013
f_n_2,5,0.7714
f_n_2,10,0.7811
f_n_2,15,0.7504
f_n_2,20,0.7229
f_n_2,25,0.6947
f_n_2,30,0.6569
f_n_2,35,0.6417
f_n_2,40,0.5991
f_n_2,45,0.5831
f_n_2,50,0.5434
f_n_2,55,0.5399
f_n_2,60,0.5285
f_n_2,65,0.5056
f_n_2,70,0.4971
f_n_3,5,0.5483
f_n_3,10,0.7357
f_n_3,15,0.7326
f_n_3,20,0.6679
f_n_3,25,0.6981
f_n_3,30,0.6639
f_n_3,35,0.619
f_n_3,40,0.6226
f_n_3,45,0.5778
f_n_3,50,0.5511
f_n_3,55,0.5484
f_n_3,60,0.5323
f_n_3,65,0.5334
f_n_3,70,0.5079
Borda,5,0.6658
Borda,10,0.7441
Borda,15,0.7261
Borda,20,0.7185
Borda,25,0.6817
Borda,30,0.6637
Borda,35,0.633
Borda,40,0.6154
Borda,45,0.5891
Borda,50,0.5784
Borda,55,0.5633
Borda,60,0.5513
Borda,65,0.5293
Borda,70,0.5306
