m,orness,manipulability
3,0.500000,0.000000
3,0.520833,0.008600
3,0.541667,0.058900
3,0.562500,0.150200
3,0.583333,0.246400
3,0.604167,0.306200
3,0.625000,0.326000
3,0.645833,0.342500
3,0.666667,0.348100
3,0.687500,0.350100
3,0.708333,0.357900
3,0.729167,0.357400
3,0.750000,0.363000
3,0.770833,0.397300
3,0.791667,0.472300
3,0.812500,0.544000
3,0.833333,0.592000
3,0.854167,0.608900
3,0.875000,0.615100
3,0.895833,0.620700
3,0.916667,0.621400
3,0.937500,0.619500
3,0.958333,0.616800
3,0.979167,0.562800
3,1.000000,0.218800
4,0.500000,0.000000
4,0.520833,0.112600
4,0.541667,0.274600
4,0.562500,0.367500
4,0.583333,0.405900
4,0.604167,0.414400
4,0.625000,0.418700
4,0.645833,0.437800
4,0.666667,0.478000
4,0.687500,0.519400
4,0.708333,0.582500
4,0.729167,0.623900
4,0.750000,0.643000
4,0.770833,0.661900
4,0.791667,0.664900
4,0.812500,0.656900
4,0.833333,0.655700
4,0.854167,0.664000
4,0.875000,0.677200
4,0.895833,0.778300
4,0.916667,0.889400
4,0.937500,0.954900
4,0.958333,0.972800
4,0.979167,0.975300
4,1.000000,0.969200
5,0.500000,0.000000
5,0.520833,0.240600
5,0.541667,0.382700
5,0.562500,0.417300
5,0.583333,0.457600
5,0.604167,0.513800
5,0.625000,0.581900
5,0.645833,0.626600
5,0.666667,0.644500
5,0.687500,0.653900
5,0.708333,0.670600
5,0.729167,0.663400
5,0.750000,0.673300
5,0.770833,0.686200
5,0.791667,0.726400
5,0.812500,0.806400
5,0.833333,0.870600
5,0.854167,0.909600
5,0.875000,0.925000
5,0.895833,0.932600
5,0.916667,0.931400
5,0.937500,0.930900
5,0.958333,0.945300
5,0.979167,0.991600
5,1.000000,0.998000
