m,orness,manipulability
3,0.500000,0.000000
3,0.520833,0.003000
3,0.541667,0.051400
3,0.562500,0.144500
3,0.583333,0.269100
3,0.604167,0.338900
3,0.625000,0.365400
3,0.645833,0.341600
3,0.666667,0.347700
3,0.687500,0.349000
3,0.708333,0.349600
3,0.729167,0.360400
3,0.750000,0.394600
3,0.770833,0.439400
3,0.791667,0.476800
3,0.812500,0.555900
3,0.833333,0.585700
3,0.854167,0.613500
3,0.875000,0.623000
3,0.895833,0.624300
3,0.916667,0.624700
3,0.937500,0.624800
3,0.958333,0.624800
3,0.979167,0.571500
3,1.000000,0.221500
4,0.500000,0.000000
4,0.520833,0.051900
4,0.541667,0.324500
4,0.562500,0.388700
4,0.583333,0.484100
4,0.604167,0.435200
4,0.625000,0.497500
4,0.645833,0.449600
4,0.666667,0.480100
4,0.687500,0.526300
4,0.708333,0.606500
4,0.729167,0.633000
4,0.750000,0.644300
4,0.770833,0.654800
4,0.791667,0.662000
4,0.812500,0.656800
4,0.833333,0.665400
4,0.854167,0.657900
4,0.875000,0.684000
4,0.895833,0.776300
4,0.916667,0.817200
4,0.937500,0.954700
4,0.958333,0.961500
4,0.979167,0.974000
4,1.000000,0.969800
5,0.500000,0.000000
5,0.520833,0.405900
5,0.541667,0.455100
5,0.562500,0.444000
5,0.583333,0.481100
5,0.604167,0.542400
5,0.625000,0.609600
5,0.645833,0.657300
5,0.666667,0.665500
5,0.687500,0.660500
5,0.708333,0.669300
5,0.729167,0.671800
5,0.750000,0.673300
5,0.770833,0.689700
5,0.791667,0.739900
5,0.812500,0.841500
5,0.833333,0.875500
5,0.854167,0.905400
5,0.875000,0.922900
5,0.895833,0.929100
5,0.916667,0.930600
5,0.937500,0.931000
5,0.958333,0.947200
5,0.979167,0.991200
5,1.000000,0.998000
