m,orness,manipulability
3,0.500000,0.000000
3,0.520833,0.009500
3,0.541667,0.049800
3,0.562500,0.139500
3,0.583333,0.242500
3,0.604167,0.302500
3,0.625000,0.331700
3,0.645833,0.341700
3,0.666667,0.347700
3,0.687500,0.349000
3,0.708333,0.349600
3,0.729167,0.349600
3,0.750000,0.352700
3,0.770833,0.396300
3,0.791667,0.466400
3,0.812500,0.540300
3,0.833333,0.585800
3,0.854167,0.613500
3,0.875000,0.623000
3,0.895833,0.624000
3,0.916667,0.624700
3,0.937500,0.624800
3,0.958333,0.624800
3,0.979167,0.571500
3,1.000000,0.221500
4,0.500000,0.000000
4,0.520833,0.112100
4,0.541667,0.271700
4,0.562500,0.368700
4,0.583333,0.404800
4,0.604167,0.415500
4,0.625000,0.419500
4,0.645833,0.433300
4,0.666667,0.469100
4,0.687500,0.526300
4,0.708333,0.580800
4,0.729167,0.620500
4,0.750000,0.643900
4,0.770833,0.653300
4,0.791667,0.656400
4,0.812500,0.657400
4,0.833333,0.657400
4,0.854167,0.657900
4,0.875000,0.684400
4,0.895833,0.776700
4,0.916667,0.885600
4,0.937500,0.954700
4,0.958333,0.971500
4,0.979167,0.974000
4,1.000000,0.969800
5,0.500000,0.000000
5,0.520833,0.248200
5,0.541667,0.376400
5,0.562500,0.423900
5,0.583333,0.465900
5,0.604167,0.518900
5,0.625000,0.579400
5,0.645833,0.624300
5,0.666667,0.649800
5,0.687500,0.660500
5,0.708333,0.666100
5,0.729167,0.667600
5,0.750000,0.669300
5,0.770833,0.688600
5,0.791667,0.738400
5,0.812500,0.805900
5,0.833333,0.868100
5,0.854167,0.905400
5,0.875000,0.922900
5,0.895833,0.929000
5,0.916667,0.930600
5,0.937500,0.931000
5,0.958333,0.947200
5,0.979167,0.991200
5,1.000000,0.998000
