m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0064
3,0.5416666666666666,0.0563
3,0.5625,0.1022
3,0.5833333333333334,0.1333
3,0.6041666666666666,0.1815
3,0.625,0.1985
3,0.6458333333333334,0.2255
3,0.6666666666666666,0.2235
3,0.6875,0.2291
3,0.7083333333333334,0.2619
3,0.7291666666666666,0.2607
3,0.75,0.2831
3,0.7708333333333334,0.2969
3,0.7916666666666666,0.3348
3,0.8125,0.4213
3,0.8333333333333334,0.4697
3,0.8541666666666666,0.5281
3,0.875,0.5705
3,0.8958333333333334,0.6079
3,0.9166666666666666,0.6439
3,0.9375,0.666
3,0.9583333333333334,0.687
3,0.9791666666666666,0.683
3,1.0,0.4988
4,0.5,0.0
4,0.5208333333333334,0.0476
4,0.5416666666666666,0.1657
4,0.5625,0.2148
4,0.5833333333333334,0.227
4,0.6041666666666666,0.2628
4,0.625,0.2835
4,0.6458333333333334,0.3051
4,0.6666666666666666,0.3191
4,0.6875,0.3429
4,0.7083333333333334,0.3979
4,0.7291666666666666,0.452
4,0.75,0.4857
4,0.7708333333333334,0.5162
4,0.7916666666666666,0.5544
4,0.8125,0.5993
4,0.8333333333333334,0.6107
4,0.8541666666666666,0.6202
4,0.875,0.6484
4,0.8958333333333334,0.6919
4,0.9166666666666666,0.7662
4,0.9375,0.8505
4,0.9583333333333334,0.9201
4,0.9791666666666666,0.9531
4,1.0,0.9675
5,0.5,0.0
5,0.5208333333333334,0.1882
5,0.5416666666666666,0.2345
5,0.5625,0.2456
5,0.5833333333333334,0.2946
5,0.6041666666666666,0.3377
5,0.625,0.3904
5,0.6458333333333334,0.406
5,0.6666666666666666,0.4423
5,0.6875,0.4495
5,0.7083333333333334,0.4773
5,0.7291666666666666,0.5289
5,0.75,0.5554
5,0.7708333333333334,0.5912
5,0.7916666666666666,0.6172
5,0.8125,0.6892
5,0.8333333333333334,0.7543
5,0.8541666666666666,0.7848
5,0.875,0.8335
5,0.8958333333333334,0.8901
5,0.9166666666666666,0.9147
5,0.9375,0.9424
5,0.9583333333333334,0.9711
5,0.9791666666666666,0.9816
5,1.0,0.9881
