m,orness,manipulability
3,0.5,0.0
3,0.5208333333333334,0.0008
3,0.5416666666666666,0.0564
3,0.5625,0.164
3,0.5833333333333334,0.2523
3,0.6041666666666666,0.3369
3,0.625,0.3368
3,0.6458333333333334,0.3741
3,0.6666666666666666,0.3539
3,0.6875,0.3417
3,0.7083333333333334,0.3679
3,0.7291666666666666,0.3585
3,0.75,0.3672
3,0.7708333333333334,0.4183
3,0.7916666666666666,0.4653
3,0.8125,0.5412
3,0.8333333333333334,0.5845
3,0.8541666666666666,0.6059
3,0.875,0.6187
3,0.8958333333333334,0.6289
3,0.9166666666666666,0.6223
3,0.9375,0.6108
3,0.9583333333333334,0.6137
3,0.9791666666666666,0.5598
3,1.0,0.2221
4,0.5,0.0
4,0.5208333333333334,0.0872
4,0.5416666666666666,0.3544
4,0.5625,0.4285
4,0.5833333333333334,0.4133
4,0.6041666666666666,0.4322
4,0.625,0.4588
4,0.6458333333333334,0.4458
4,0.6666666666666666,0.4827
4,0.6875,0.5165
4,0.7083333333333334,0.5816
4,0.7291666666666666,0.6211
4,0.75,0.6654
4,0.7708333333333334,0.6624
4,0.7916666666666666,0.6562
4,0.8125,0.6608
4,0.8333333333333334,0.6695
4,0.8541666666666666,0.6593
4,0.875,0.6835
4,0.8958333333333334,0.7714
4,0.9166666666666666,0.884
4,0.9375,0.9501
4,0.9583333333333334,0.972
4,0.9791666666666666,0.9755
4,1.0,0.9724
5,0.5,0.0
5,0.5208333333333334,0.4099
5,0.5416666666666666,0.4425
5,0.5625,0.4173
5,0.5833333333333334,0.4851
5,0.6041666666666666,0.5365
5,0.625,0.6168
5,0.6458333333333334,0.6489
5,0.6666666666666666,0.6927
5,0.6875,0.6649
5,0.7083333333333334,0.6835
5,0.7291666666666666,0.6805
5,0.75,0.7025
5,0.7708333333333334,0.7094
5,0.7916666666666666,0.7281
5,0.8125,0.8112
5,0.8333333333333334,0.8907
5,0.8541666666666666,0.908
5,0.875,0.9278
5,0.8958333333333334,0.9472
5,0.9166666666666666,0.9338
5,0.9375,0.9393
5,0.9583333333333334,0.9728
5,0.9791666666666666,0.993
5,1.0,0.9982
