f,n,manipulability
f_2n_3,5,0.8251
f_2n_3,10,0.8618
f_2n_3,15,0.9043
f_2n_3,20,0.8881
f_2n_3,25,0.8858
f_2n_3,30,0.875
f_2n_3,35,0.846
f_2n_3,40,0.8063
f_2n_3,45,0.8074
f_2n_3,50,0.7806
f_2n_3,55,0.7818
f_2n_3,60,0.732
f_2n_3,65,0.7242
f_2n_3,70,0.7029
f_n_2,5,0.7771
f_n_2,10,0.7699
f_n_2,15,0.7447
f_n_2,20,0.7238
f_n_2,25,0.6921
f_n_2,30,0.6659
f_n_2,35,0.6418
f_n_2,40,0.5898
f_n_2,45,0.5855
f_n_2,50,0.5522
f_n_2,55,0.5345
f_n_2,60,0.5335
f_n_2,65,0.505
f_n_2,70,0.5043
f_n_3,5,0.5465
f_n_3,10,0.73
f_n_3,15,0.7325
f_n_3,20,0.672
f_n_3,25,0.7003
f_n_3,30,0.6586
f_n_3,35,0.6149
f_n_3,40,0.6084
f_n_3,45,0.5773
f_n_3,50,0.5665
f_n_3,55,0.5507
f_n_3,60,0.5318
f_n_3,65,0.5315
f_n_3,70,0.5134
Borda,5,0.6707
Borda,10,0.7493
Borda,15,0.7223
Borda,20,0.7042
Borda,25,0.6838
Borda,30,0.6542
Borda,35,0.6357
Borda,40,0.6128
Borda,45,0.603
Borda,50,0.579
Borda,55,0.5666
Borda,60,0.5517
Borda,65,0.5353
Borda,70,0.5289
