f,n,manipulability
f_2n_3,5,0.84
f_2n_3,10,0.847
f_2n_3,15,0.921
f_2n_3,20,0.882
f_2n_3,25,0.913
f_2n_3,30,0.877
f_2n_3,35,0.852
f_2n_3,40,0.817
f_2n_3,45,0.814
f_2n_3,50,0.806
f_2n_3,55,0.772
f_2n_3,60,0.702
f_2n_3,65,0.709
f_2n_3,70,0.705
f_n_2,5,0.788
f_n_2,10,0.784
f_n_2,15,0.755
f_n_2,20,0.703
f_n_2,25,0.711
f_n_2,30,0.681
f_n_2,35,0.642
f_n_2,40,0.569
f_n_2,45,0.568
f_n_2,50,0.548
f_n_2,55,0.513
f_n_2,60,0.52
f_n_2,65,0.504
f_n_2,70,0.5
f_n_3,5,0.537
f_n_3,10,0.746
f_n_3,15,0.715
f_n_3,20,0.65
f_n_3,25,0.695
f_n_3,30,0.646
f_n_3,35,0.609
f_n_3,40,0.595
f_n_3,45,0.602
f_n_3,50,0.589
f_n_3,55,0.58
f_n_3,60,0.533
f_n_3,65,0.502
f_n_3,70,0.507
Borda,5,0.685
Borda,10,0.724
Borda,15,0.741
Borda,20,0.718
Borda,25,0.712
Borda,30,0.68
Borda,35,0.636
Borda,40,0.61
Borda,45,0.603
Borda,50,0.598
Borda,55,0.584
Borda,60,0.552
Borda,65,0.554
Borda,70,0.536
